year,danceability
1941,0.519026666666667
1942,0.480489130434783
1943,0.467435897435897
1944,0.498
1945,0.503106666666667
1946,0.4872
1947,0.501761904761905
1948,0.485628571428572
1949,0.408033333333333
1950,0.517259259259259
1951,0.4957
1952,0.479066666666667
1953,0.466866666666667
1954,0.468866666666667
1955,0.506666666666667
1956,0.486652631578948
1957,0.53988
1958,0.55135
1959,0.52177
1960,0.537090909090909
1961,0.54015
1962,0.572030303030303
1963,0.548556701030928
1964,0.545938144329897
1965,0.542294736842105
1966,0.552381443298969
1967,0.537302083333334
1968,0.576836734693878
1969,0.553591836734694
1970,0.557454545454546
1971,0.567360824742268
1972,0.575727272727273
1973,0.565845360824742
1974,0.593567010309278
1975,0.587367346938776
1976,0.600010204081633
1977,0.568175257731959
1978,0.598938775510204
1979,0.63284693877551
1980,0.614053191489362
1981,0.59819387755102
1982,0.604103092783505
1983,0.628438775510204
1984,0.64857
1985,0.650555555555555
1986,0.632845360824742
1987,0.631082474226804
1988,0.630464646464647
1989,0.619958333333333
1990,0.645123711340206
1991,0.623734042553192
1992,0.637835051546392
1993,0.639478723404255
1994,0.637626262626263
1995,0.659489130434783
1996,0.640744897959184
1997,0.653041237113402
1998,0.661568421052632
1999,0.646737373737374
2000,0.676885416666667
2001,0.655122448979592
2002,0.655755102040816
2003,0.667121212121212
2004,0.67204
2005,0.666357142857143
2006,0.66494
2007,0.656285714285714
2008,0.643645833333333
2009,0.634081632653061
2010,0.628103092783506
2011,0.625666666666667
2012,0.655313131313131
2013,0.632081632653061
2014,0.642438775510204
2015,0.650063157894737
2016,0.660204081632653
