year,euphoric,happy,midrange,sad,depressive
1941,0.146666666666667,0.266666666666667,0.226666666666667,0.186666666666667,0.173333333333333
1942,0.152173913043478,0.173913043478261,0.119565217391304,0.358695652173913,0.195652173913043
1943,0.0512820512820513,0.230769230769231,0.179487179487179,0.358974358974359,0.179487179487179
1944,0.102564102564103,0.230769230769231,0.179487179487179,0.384615384615385,0.102564102564103
1945,0.173333333333333,0.2,0.213333333333333,0.24,0.173333333333333
1946,0.244444444444444,0.0444444444444444,0.177777777777778,0.422222222222222,0.111111111111111
1947,0.19047619047619,0.19047619047619,0.19047619047619,0.285714285714286,0.142857142857143
1948,0.2,0.285714285714286,0.0857142857142857,0.228571428571429,0.2
1949,0.133333333333333,0.1,0.2,0.466666666666667,0.1
1950,0.296296296296296,0.111111111111111,0.148148148148148,0.296296296296296,0.148148148148148
1951,0.266666666666667,0.2,0.166666666666667,0.266666666666667,0.1
1952,0.166666666666667,0.133333333333333,0.166666666666667,0.433333333333333,0.1
1953,0.133333333333333,0.1,0.166666666666667,0.4,0.2
1954,0.2,0.166666666666667,0.3,0.233333333333333,0.1
1955,0.233333333333333,0.3,0.133333333333333,0.3,0.0333333333333333
1956,0.231578947368421,0.273684210526316,0.189473684210526,0.231578947368421,0.0736842105263158
1957,0.38,0.25,0.22,0.12,0.03
1958,0.45,0.14,0.26,0.13,0.02
1959,0.39,0.25,0.14,0.17,0.05
1960,0.434343434343434,0.171717171717172,0.181818181818182,0.171717171717172,0.0404040404040404
1961,0.39,0.29,0.14,0.13,0.05
1962,0.363636363636364,0.333333333333333,0.191919191919192,0.0808080808080808,0.0303030303030303
1963,0.422680412371134,0.268041237113402,0.134020618556701,0.164948453608247,0.0103092783505155
1964,0.381443298969072,0.247422680412371,0.195876288659794,0.154639175257732,0.0206185567010309
1965,0.263157894736842,0.389473684210526,0.263157894736842,0.0842105263157895,0
1966,0.278350515463918,0.381443298969072,0.195876288659794,0.123711340206186,0.0206185567010309
1967,0.354166666666667,0.21875,0.229166666666667,0.177083333333333,0.0208333333333333
1968,0.387755102040816,0.295918367346939,0.163265306122449,0.13265306122449,0.0204081632653061
1969,0.244897959183673,0.36734693877551,0.193877551020408,0.173469387755102,0.0204081632653061
1970,0.363636363636364,0.292929292929293,0.171717171717172,0.151515151515152,0.0202020202020202
1971,0.402061855670103,0.216494845360825,0.216494845360825,0.134020618556701,0.0309278350515464
1972,0.353535353535354,0.181818181818182,0.323232323232323,0.101010101010101,0.0404040404040404
1973,0.412371134020619,0.268041237113402,0.216494845360825,0.0824742268041237,0.0206185567010309
1974,0.34020618556701,0.34020618556701,0.175257731958763,0.0927835051546392,0.0515463917525773
1975,0.285714285714286,0.346938775510204,0.163265306122449,0.112244897959184,0.0918367346938776
1976,0.418367346938776,0.26530612244898,0.183673469387755,0.0816326530612245,0.0510204081632653
1977,0.278350515463918,0.309278350515464,0.195876288659794,0.134020618556701,0.0824742268041237
1978,0.295918367346939,0.23469387755102,0.23469387755102,0.193877551020408,0.0408163265306122
1979,0.418367346938776,0.244897959183673,0.122448979591837,0.193877551020408,0.0204081632653061
1980,0.351063829787234,0.297872340425532,0.138297872340426,0.127659574468085,0.0851063829787234
1981,0.275510204081633,0.23469387755102,0.153061224489796,0.224489795918367,0.112244897959184
1982,0.360824742268041,0.237113402061856,0.185567010309278,0.134020618556701,0.0824742268041237
1983,0.285714285714286,0.357142857142857,0.122448979591837,0.142857142857143,0.0918367346938776
1984,0.41,0.32,0.13,0.09,0.05
1985,0.434343434343434,0.212121212121212,0.171717171717172,0.161616161616162,0.0202020202020202
1986,0.288659793814433,0.34020618556701,0.175257731958763,0.144329896907216,0.0515463917525773
1987,0.371134020618557,0.247422680412371,0.154639175257732,0.175257731958763,0.0515463917525773
1988,0.353535353535354,0.242424242424242,0.171717171717172,0.161616161616162,0.0707070707070707
1989,0.270833333333333,0.1875,0.21875,0.21875,0.104166666666667
